Objects
100
,,Global Angle dogger2:dogger2,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.002183,0.005286,-0.002415,-8.771424,18.208563,325.040100
2,0,-0.002308,0.005357,-0.002461,-8.767874,18.220282,325.031403
3,0,-0.002153,0.005394,-0.002469,-8.768015,18.222851,325.028534
4,0,-0.002456,0.005346,-0.002459,-8.759776,18.218887,325.042572
5,0,-0.002181,0.005309,-0.002460,-8.741441,18.218655,325.040649
6,0,-0.002255,0.005383,-0.002536,-8.752365,18.214989,325.048553
7,0,-0.002453,0.005314,-0.002562,-8.748047,18.216450,325.037933
8,0,-0.002225,0.005402,-0.002614,-8.753345,18.213394,325.029602
9,0,-0.002256,0.005458,-0.002654,-8.758876,18.217730,325.022552
10,0,-0.002358,0.005316,-0.002644,-8.752382,18.220686,325.020691
11,0,-0.002377,0.005286,-0.002593,-8.755778,18.221117,325.039978
12,0,-0.002326,0.005319,-0.002615,-8.747715,18.215555,325.037811
13,0,-0.002375,0.005251,-0.002514,-8.754980,18.214781,325.040558
14,0,-0.002377,0.005309,-0.002531,-8.752480,18.223164,325.030518
15,0,-0.002547,0.005299,-0.002454,-8.761657,18.221519,325.035950
16,0,-0.002341,0.005327,-0.002415,-8.770732,18.216961,325.044739
17,0,-0.002163,0.005285,-0.002384,-8.771649,18.227478,325.054901
18,0,-0.002528,0.005320,-0.002392,-8.772643,18.223326,325.040833
19,0,-0.002272,0.005223,-0.002406,-8.775667,18.221512,325.042786
20,0,-0.002603,0.005281,-0.002393,-8.782967,18.223171,325.022400
21,0,-0.002536,0.005254,-0.002395,-8.784913,18.220024,325.035248
22,0,-0.002297,0.005226,-0.002451,-8.783935,18.225906,325.036621
23,0,-0.002319,0.005197,-0.002478,-8.786876,18.227684,325.038147
24,0,-0.002159,0.005396,-0.002483,-8.783312,18.227303,325.041016
25,0,-0.002264,0.005338,-0.002482,-8.794291,18.229998,325.043213
26,0,-0.002388,0.005275,-0.002536,-8.789108,18.227928,325.050781
27,0,-0.002238,0.005270,-0.002467,-8.788154,18.232492,325.034637
28,0,-0.002455,0.005263,-0.002545,-8.785492,18.229874,325.031372
29,0,-0.002290,0.005271,-0.002473,-8.784825,18.229239,325.024994
30,0,-0.002273,0.005350,-0.002463,-8.783684,18.225019,325.033783
31,0,-0.002160,0.005308,-0.002458,-8.784992,18.230833,325.029205
32,0,-0.002515,0.005186,-0.002457,-8.783162,18.231295,325.038116
33,0,-0.002426,0.005300,-0.002430,-8.779199,18.229959,325.047180
34,0,-0.002298,0.005326,-0.002445,-8.772159,18.228756,325.043671
35,0,-0.002550,0.005322,-0.002443,-8.768967,18.225592,325.045319
36,0,-0.002367,0.005334,-0.002451,-8.763165,18.223215,325.037140
37,0,-0.002287,0.005355,-0.002470,-8.763857,18.222988,325.015381
38,0,-0.002591,0.005289,-0.002509,-8.767309,18.220249,325.011566
39,0,-0.002539,0.005280,-0.002467,-8.764893,18.218370,325.014954
40,0,-0.002395,0.005277,-0.002524,-8.761150,18.213558,325.026031
41,0,-0.002329,0.005353,-0.002475,-8.755618,18.211641,325.039490
42,0,-0.002242,0.005381,-0.002491,-8.764755,18.216906,325.047089
43,0,-0.002344,0.005344,-0.002489,-8.761187,18.216894,325.040527
44,0,-0.002531,0.005263,-0.002490,-8.759602,18.220263,325.044464
45,0,-0.002574,0.005237,-0.002474,-8.756576,18.220972,325.035553
46,0,-0.002333,0.005275,-0.002447,-8.746890,18.217615,325.039673
47,0,-0.002163,0.005338,-0.002446,-8.741941,18.218700,325.033966
48,0,-0.002229,0.005303,-0.002411,-8.742519,18.211653,325.027863
49,0,-0.002424,0.005333,-0.002435,-8.743978,18.216681,325.027924
50,0,-0.002575,0.005278,-0.002400,-8.751950,18.220877,325.031799
51,0,-0.002431,0.005287,-0.002414,-8.755325,18.216249,325.035248
52,0,-0.002543,0.005352,-0.002449,-8.763731,18.222343,325.034576
53,0,-0.002384,0.005351,-0.002475,-8.754135,18.222555,325.032562
54,0,-0.002137,0.005351,-0.002508,-8.745667,18.216173,325.024994
55,0,-0.002503,0.005329,-0.002572,-8.750792,18.220390,325.019409
56,0,-0.002202,0.005338,-0.002540,-8.759590,18.221550,325.016754
57,0,-0.002462,0.005276,-0.002635,-8.771531,18.220875,325.035248
58,0,-0.002390,0.005207,-0.002680,-8.780500,18.226406,325.063202
59,0,-0.002318,0.005273,-0.002635,-8.778279,18.225071,325.061127
60,0,-0.002170,0.005340,-0.002597,-8.771215,18.221819,325.048706
61,0,-0.002345,0.005333,-0.002593,-8.765873,18.217739,325.021759
62,0,-0.002254,0.005370,-0.002567,-8.764336,18.214588,325.022278
63,0,-0.002447,0.005344,-0.002538,-8.780578,18.216320,325.023773
64,0,-0.002596,0.005301,-0.002519,-8.779300,18.224113,325.024445
65,0,-0.002487,0.005280,-0.002449,-8.787329,18.224020,325.032196
66,0,-0.002030,0.005295,-0.002468,-8.795189,18.222889,325.046356
67,0,-0.002459,0.005277,-0.002464,-8.777856,18.225719,325.049347
68,0,-0.002413,0.005327,-0.002492,-8.771499,18.225529,325.044434
69,0,-0.002304,0.005351,-0.002474,-8.775839,18.220572,325.049438
70,0,-0.002248,0.005291,-0.002513,-8.775346,18.223175,325.034729
71,0,-0.002572,0.005235,-0.002511,-8.778657,18.226995,325.033142
72,0,-0.002734,0.005250,-0.002455,-8.769092,18.219017,325.025238
73,0,-0.002477,0.005305,-0.002485,-8.759180,18.220232,325.036530
74,0,-0.002075,0.005408,-0.002492,-8.764583,18.223213,325.030212
75,0,-0.002605,0.005352,-0.002480,-8.763062,18.222315,325.029175
