Objects
100
,,Global Angle dogger:dogger,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.000344,0.018703,1.657734,20.021275,8.099998,130.931320
2,0,-0.000239,0.018801,1.657706,20.020729,8.106855,130.907394
3,0,-0.000405,0.018742,1.657676,20.030960,8.107806,130.895477
4,0,-0.000360,0.018783,1.657662,20.024179,8.108915,130.889069
5,0,-0.000170,0.018959,1.657749,20.022345,8.102452,130.921814
6,0,-0.000324,0.018706,1.657707,20.018106,8.098372,130.940033
7,0,-0.000163,0.018839,1.657691,20.020466,8.102548,130.955612
8,0,-0.000044,0.019094,1.657676,20.034195,8.111695,130.946243
9,0,-0.000417,0.018724,1.657704,20.028543,8.111459,130.916199
10,0,-0.000364,0.018810,1.657769,20.036377,8.108627,130.900009
11,0,-0.000052,0.019014,1.657643,20.025057,8.113045,130.911774
12,0,-0.000275,0.018751,1.657643,20.017614,8.105658,130.929489
13,0,-0.000136,0.019007,1.657667,20.024319,8.104431,130.938004
14,0,-0.000209,0.018800,1.657665,20.023014,8.112914,130.926697
15,0,-0.000165,0.018866,1.657644,20.029057,8.113404,130.914368
16,0,-0.000166,0.018870,1.657669,20.035637,8.119198,130.914429
17,0,-0.000170,0.018802,1.657721,20.038963,8.117458,130.915344
18,0,-0.000058,0.018979,1.657724,20.029987,8.111414,130.918854
19,0,-0.000358,0.018664,1.657752,20.029697,8.106970,130.921417
20,0,-0.000437,0.018689,1.657700,20.028585,8.111571,130.919022
21,0,-0.000109,0.018960,1.657695,20.028599,8.112959,130.914520
22,0,-0.000217,0.018861,1.657704,20.028912,8.116592,130.912323
23,0,-0.000222,0.018890,1.657691,20.027887,8.110948,130.911880
24,0,-0.000071,0.018912,1.657692,20.023962,8.103376,130.921677
25,0,-0.000244,0.018844,1.657719,20.025913,8.108629,130.928406
26,0,-0.000197,0.018846,1.657709,20.025772,8.110503,130.918594
27,0,-0.000293,0.018789,1.657730,20.027393,8.121728,130.905502
28,0,-0.000336,0.018729,1.657650,20.035112,8.123616,130.888870
29,0,-0.000256,0.018816,1.657716,20.031403,8.108406,130.894516
30,0,-0.000189,0.018765,1.657655,20.023626,8.098220,130.925339
31,0,-0.000224,0.018720,1.657685,20.027643,8.094790,130.939178
32,0,-0.000171,0.018885,1.657677,20.018967,8.101643,130.941086
33,0,-0.000438,0.018579,1.657726,20.023193,8.110947,130.920319
34,0,-0.000139,0.018917,1.657656,20.024467,8.120159,130.879547
35,0,-0.000360,0.018796,1.657683,20.031406,8.117690,130.884048
36,0,-0.000241,0.018889,1.657721,20.028015,8.108757,130.917130
37,0,-0.000104,0.018967,1.657727,20.032812,8.097876,130.930222
38,0,-0.000567,0.018586,1.657698,20.026678,8.106328,130.952744
39,0,-0.000160,0.018905,1.657741,20.024836,8.108294,130.921753
40,0,-0.000418,0.018753,1.657702,20.023018,8.118330,130.906082
41,0,-0.000294,0.018824,1.657694,20.030079,8.113477,130.891541
42,0,-0.000275,0.018840,1.657665,20.027910,8.113204,130.899811
43,0,-0.000146,0.018854,1.657712,20.027763,8.106103,130.920364
44,0,-0.000239,0.018741,1.657734,20.015612,8.102143,130.940567
45,0,-0.000251,0.018744,1.657712,20.011526,8.102415,130.942902
46,0,-0.000087,0.018866,1.657697,20.020014,8.101834,130.912811
47,0,-0.000047,0.018822,1.657704,20.022707,8.107461,130.881531
48,0,-0.000382,0.018741,1.657700,20.023161,8.112216,130.886581
49,0,-0.000081,0.018852,1.657706,20.020407,8.106328,130.889511
50,0,-0.000265,0.018553,1.657716,20.020203,8.114556,130.924149
51,0,-0.000142,0.018876,1.657688,20.018345,8.102391,130.949860
52,0,-0.000123,0.018932,1.657720,20.016727,8.104117,130.933670
53,0,-0.000018,0.018926,1.657723,20.017666,8.108905,130.913574
54,0,-0.000505,0.018560,1.657686,20.021240,8.120731,130.895737
55,0,-0.000217,0.018833,1.657661,20.018129,8.110590,130.898132
56,0,-0.000032,0.019075,1.657690,20.016363,8.106014,130.913895
57,0,-0.000491,0.018652,1.657742,20.022636,8.098843,130.913055
58,0,-0.000360,0.018607,1.657705,20.021084,8.099466,130.931076
59,0,-0.000363,0.018572,1.657724,20.024956,8.102925,130.936478
60,0,-0.000476,0.018650,1.657711,20.032852,8.111647,130.927139
61,0,-0.000226,0.018913,1.657682,20.034716,8.112166,130.920700
62,0,-0.000448,0.018645,1.657690,20.027519,8.112514,130.906738
63,0,-0.000106,0.018810,1.657660,20.026142,8.103885,130.894226
64,0,-0.000183,0.018937,1.657689,20.028666,8.102528,130.895432
65,0,-0.000550,0.018450,1.657708,20.027422,8.104650,130.915268
66,0,-0.000002,0.019013,1.657670,20.027079,8.104048,130.940475
67,0,-0.000226,0.018935,1.657709,20.030090,8.102136,130.944962
68,0,-0.000217,0.018874,1.657698,20.021444,8.109043,130.931671
69,0,-0.000259,0.018694,1.657711,20.032501,8.109916,130.901276
70,0,-0.000371,0.018714,1.657654,20.027832,8.096724,130.879669
71,0,-0.000182,0.018855,1.657673,20.029623,8.105761,130.896729
72,0,-0.000108,0.018904,1.657652,20.024426,8.118138,130.898483
73,0,-0.000516,0.018547,1.657728,20.037281,8.117905,130.928207
74,0,-0.000228,0.018885,1.657707,20.033304,8.110230,130.938187
75,0,-0.000217,0.018903,1.657681,20.021585,8.101179,130.947495
76,0,-0.000184,0.018880,1.657695,20.029026,8.107604,130.924164
77,0,-0.000204,0.018924,1.657701,20.029335,8.100344,130.906509
78,0,-0.000416,0.018754,1.657670,20.027884,8.114646,130.903549
79,0,-0.000101,0.018876,1.657745,20.027689,8.116687,130.909927
80,0,-0.000407,0.018630,1.657721,20.030479,8.116644,130.921890
81,0,-0.000218,0.018853,1.657716,20.028521,8.105655,130.918610
82,0,-0.000272,0.018902,1.657663,20.025396,8.116985,130.910568
83,0,-0.000182,0.018901,1.657685,20.028755,8.114197,130.914337
84,0,-0.000264,0.018883,1.657704,20.023628,8.111549,130.927078
85,0,-0.000363,0.018687,1.657756,20.022591,8.119026,130.931137
