Objects
100
,,Global Angle dogger2:dogger2,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.001478,-0.006508,0.005166,-31.309336,21.702877,327.478149
2,0,-0.001595,-0.006520,0.005235,-31.327274,21.702465,327.465118
3,0,-0.001514,-0.006530,0.005250,-31.335596,21.700333,327.462372
4,0,-0.001991,-0.006424,0.005208,-31.340145,21.708364,327.457825
5,0,-0.001873,-0.006455,0.005310,-31.346512,21.712399,327.470490
6,0,-0.001445,-0.006443,0.005301,-31.356874,21.722527,327.487976
7,0,-0.001537,-0.006525,0.005256,-31.361498,21.715815,327.491211
8,0,-0.001488,-0.006461,0.005251,-31.367584,21.714535,327.492798
9,0,-0.001246,-0.006438,0.005219,-31.360991,21.708736,327.465698
10,0,-0.001672,-0.006505,0.005247,-31.353954,21.719353,327.449738
11,0,-0.001515,-0.006428,0.005221,-31.352375,21.726847,327.461731
12,0,-0.001595,-0.006450,0.005277,-31.341986,21.735603,327.480957
13,0,-0.001686,-0.006465,0.005273,-31.340353,21.733730,327.487396
14,0,-0.001507,-0.006443,0.005283,-31.325340,21.731680,327.477081
15,0,-0.001444,-0.006484,0.005286,-31.309151,21.723154,327.472809
16,0,-0.001431,-0.006386,0.005291,-31.290661,21.733168,327.467560
17,0,-0.001729,-0.006392,0.005346,-31.287905,21.731817,327.484375
18,0,-0.001656,-0.006379,0.005308,-31.280561,21.731384,327.474884
19,0,-0.001674,-0.006479,0.005290,-31.287853,21.734676,327.473358
20,0,-0.001598,-0.006423,0.005201,-31.275436,21.741945,327.478882
21,0,-0.001632,-0.006462,0.005241,-31.284454,21.733618,327.472870
22,0,-0.001765,-0.006408,0.005218,-31.277708,21.731079,327.481232
23,0,-0.001762,-0.006425,0.005232,-31.273623,21.725300,327.464142
24,0,-0.001531,-0.006462,0.005213,-31.262688,21.720114,327.454620
25,0,-0.001640,-0.006483,0.005181,-31.267517,21.715569,327.456787
26,0,-0.001571,-0.006449,0.005203,-31.279810,21.715986,327.460907
27,0,-0.001573,-0.006441,0.005217,-31.291176,21.718094,327.463440
28,0,-0.001464,-0.006368,0.005171,-31.289581,21.707205,327.470367
29,0,-0.001606,-0.006467,0.005221,-31.292959,21.711046,327.485626
30,0,-0.001323,-0.006371,0.005226,-31.291525,21.708511,327.499481
31,0,-0.001392,-0.006417,0.005256,-31.296127,21.710613,327.479675
32,0,-0.001440,-0.006409,0.005315,-31.307232,21.701399,327.465088
33,0,-0.001291,-0.006426,0.005249,-31.331758,21.702541,327.448608
34,0,-0.001443,-0.006499,0.005355,-31.328213,21.694382,327.440979
35,0,-0.001638,-0.006453,0.005373,-31.331003,21.689447,327.465637
36,0,-0.001427,-0.006467,0.005350,-31.320810,21.698143,327.485809
37,0,-0.001466,-0.006398,0.005373,-31.319611,21.693579,327.487793
38,0,-0.001503,-0.006389,0.005382,-31.321463,21.701357,327.474823
39,0,-0.001393,-0.006408,0.005330,-31.344551,21.697361,327.467682
40,0,-0.001368,-0.006429,0.005307,-31.334326,21.701668,327.471344
41,0,-0.001362,-0.006466,0.005235,-31.332947,21.693111,327.476898
42,0,-0.001555,-0.006485,0.005223,-31.320642,21.698692,327.467682
43,0,-0.001452,-0.006466,0.005183,-31.310472,21.689028,327.457367
44,0,-0.001315,-0.006526,0.005199,-31.308960,21.689835,327.449463
45,0,-0.001501,-0.006419,0.005151,-31.318411,21.690567,327.454681
46,0,-0.001440,-0.006503,0.005210,-31.322781,21.704601,327.474670
47,0,-0.001563,-0.006495,0.005219,-31.317513,21.698723,327.481049
48,0,-0.001587,-0.006407,0.005251,-31.309616,21.701677,327.481964
49,0,-0.001443,-0.006427,0.005265,-31.298250,21.707848,327.478210
50,0,-0.001326,-0.006427,0.005302,-31.278149,21.707727,327.462952
51,0,-0.001615,-0.006399,0.005307,-31.277102,21.706848,327.446259
52,0,-0.001713,-0.006375,0.005362,-31.282354,21.710493,327.456238
53,0,-0.001763,-0.006348,0.005357,-31.281084,21.708258,327.457733
54,0,-0.001591,-0.006427,0.005377,-31.283457,21.719366,327.473999
55,0,-0.001714,-0.006404,0.005344,-31.278446,21.726252,327.482025
56,0,-0.001633,-0.006440,0.005301,-31.282082,21.724852,327.476624
57,0,-0.001654,-0.006404,0.005213,-31.279579,21.715452,327.461121
58,0,-0.001798,-0.006360,0.005208,-31.277445,21.717302,327.459808
59,0,-0.001769,-0.006410,0.005207,-31.282566,21.712408,327.460144
60,0,-0.001622,-0.006379,0.005245,-31.293884,21.709570,327.452393
61,0,-0.001571,-0.006437,0.005267,-31.310183,21.714661,327.462555
62,0,-0.001785,-0.006464,0.005266,-31.303968,21.719313,327.460266
63,0,-0.001415,-0.006394,0.005265,-31.309757,21.716629,327.474731
64,0,-0.001596,-0.006437,0.005287,-31.311539,21.713993,327.487213
65,0,-0.001740,-0.006414,0.005228,-31.313541,21.712315,327.477600
66,0,-0.001367,-0.006453,0.005302,-31.324059,21.712490,327.473694
67,0,-0.001487,-0.006513,0.005334,-31.319324,21.704151,327.472015
68,0,-0.001888,-0.006386,0.005285,-31.317347,21.707935,327.451965
69,0,-0.001622,-0.006473,0.005349,-31.316734,21.704844,327.453094
70,0,-0.001497,-0.006446,0.005265,-31.296761,21.699514,327.457825
71,0,-0.001168,-0.006401,0.005268,-31.306290,21.696756,327.469086
72,0,-0.001214,-0.006363,0.005239,-31.307306,21.696163,327.477051
73,0,-0.001382,-0.006466,0.005243,-31.312410,21.696459,327.485260
74,0,-0.001381,-0.006425,0.005247,-31.306208,21.706182,327.478333
75,0,-0.001758,-0.006398,0.005243,-31.297892,21.705004,327.471161
76,0,-0.001707,-0.006360,0.005214,-31.301014,21.698606,327.463806
77,0,-0.001440,-0.006358,0.005200,-31.298290,21.689484,327.455994
78,0,-0.001626,-0.006410,0.005242,-31.297325,21.696619,327.470642
79,0,-0.001598,-0.006422,0.005215,-31.296354,21.699131,327.474609
80,0,-0.001455,-0.006428,0.005255,-31.292685,21.700308,327.464417
81,0,-0.001826,-0.006422,0.005186,-31.296793,21.699110,327.475616
82,0,-0.001766,-0.006515,0.005216,-31.300743,21.697706,327.461090
83,0,-0.001489,-0.006391,0.005235,-31.306696,21.692780,327.467804
84,0,-0.001684,-0.006384,0.005295,-31.310085,21.691525,327.472748
85,0,-0.001593,-0.006403,0.005314,-31.305290,21.699009,327.479523
86,0,-0.001735,-0.006410,0.005340,-31.305000,21.697832,327.473663
87,0,-0.001634,-0.006526,0.005382,-31.304176,21.692848,327.464081
88,0,-0.001600,-0.006514,0.005337,-31.297340,21.688042,327.457367
89,0,-0.001723,-0.006461,0.005382,-31.302092,21.686636,327.462982
