Objects
100
,,Global Angle dogger2:dogger2,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.039593,0.016079,-0.091462,313.631195,83.923836,367.935333
2,0,-0.039375,0.016051,-0.091438,313.628906,83.923317,367.920929
3,0,-0.039434,0.016065,-0.091468,313.621246,83.925659,367.939056
4,0,-0.039648,0.016003,-0.091422,313.609314,83.931076,367.953522
5,0,-0.039462,0.016044,-0.091410,313.612518,83.943100,367.970032
6,0,-0.039445,0.016042,-0.091364,313.623077,83.928146,367.956757
7,0,-0.039420,0.016090,-0.091324,313.624115,83.934303,367.954742
8,0,-0.039241,0.016090,-0.091370,313.626923,83.922539,367.940369
9,0,-0.039637,0.016126,-0.091350,313.618561,83.932709,367.943665
10,0,-0.039385,0.016125,-0.091344,313.611450,83.933723,367.956116
11,0,-0.039353,0.016060,-0.091383,313.608704,83.938042,367.955963
12,0,-0.039499,0.016126,-0.091355,313.612488,83.931847,367.946808
13,0,-0.039421,0.016115,-0.091429,313.622955,83.922783,367.949005
14,0,-0.039678,0.016051,-0.091455,313.626953,83.923897,367.940552
15,0,-0.039253,0.016056,-0.091498,313.629303,83.915268,367.946960
16,0,-0.039368,0.016120,-0.091480,313.625000,83.922714,367.955750
17,0,-0.039499,0.016004,-0.091565,313.620209,83.918861,367.955963
18,0,-0.039400,0.016015,-0.091525,313.617523,83.911880,367.939636
19,0,-0.039711,0.016184,-0.091520,313.628296,83.905190,367.936279
20,0,-0.039269,0.016036,-0.091434,313.637451,83.901711,367.943542
21,0,-0.039333,0.016059,-0.091452,313.637329,83.893745,367.945862
22,0,-0.039344,0.016084,-0.091372,313.626801,83.894424,367.956177
23,0,-0.039311,0.016123,-0.091395,313.617706,83.894684,367.946594
24,0,-0.039251,0.016103,-0.091375,313.617249,83.882858,367.942230
25,0,-0.039329,0.016135,-0.091288,313.624512,83.876808,367.935577
26,0,-0.039409,0.016041,-0.091262,313.611877,83.877686,367.951324
27,0,-0.039490,0.016129,-0.091304,313.618011,83.880127,367.961884
28,0,-0.039399,0.016123,-0.091343,313.605164,83.874443,367.970795
29,0,-0.039347,0.016058,-0.091325,313.596039,83.876427,367.964844
30,0,-0.039393,0.016095,-0.091288,313.588013,83.869377,367.947083
31,0,-0.039452,0.016023,-0.091313,313.588104,83.869217,367.932037
32,0,-0.039164,0.016037,-0.091345,313.593781,83.860474,367.929260
33,0,-0.039278,0.016022,-0.091303,313.589020,83.857002,367.934906
34,0,-0.041000,0.015880,-0.093045,313.871399,84.044403,367.934875
35,0,-0.040690,0.015756,-0.093061,313.856628,84.049995,367.938934
36,0,-0.041193,0.015899,-0.093085,313.866760,84.055824,367.941650
37,0,-0.040952,0.015863,-0.093061,313.863892,84.058372,367.932373
38,0,-0.041184,0.015882,-0.093080,313.864960,84.049416,367.928589
39,0,-0.040935,0.015890,-0.093118,313.866730,84.054901,367.928772
40,0,-0.040773,0.015918,-0.093077,313.869385,84.054947,367.929077
41,0,-0.040930,0.015864,-0.093108,313.872833,84.053955,367.930481
42,0,-0.040957,0.015920,-0.093153,313.884491,84.059784,367.915161
43,0,-0.041286,0.015913,-0.093043,313.883423,84.060631,367.925568
44,0,-0.041229,0.015961,-0.093052,313.889008,84.060646,367.924805
45,0,-0.041234,0.015993,-0.093107,313.886719,84.064514,367.926117
46,0,-0.041125,0.015950,-0.093080,313.896667,84.065887,367.914612
47,0,-0.040716,0.015889,-0.093038,313.899475,84.071289,367.906006
48,0,-0.041358,0.015922,-0.093056,313.906647,84.072922,367.912354
49,0,-0.041251,0.015962,-0.093025,313.930298,84.075264,367.921631
50,0,-0.040853,0.016003,-0.093112,313.918488,84.072937,367.923126
51,0,-0.041074,0.015871,-0.093007,313.914642,84.080040,367.918793
52,0,-0.040865,0.015858,-0.093054,313.921783,84.076897,367.907867
53,0,-0.040778,0.015924,-0.093031,313.917450,84.086060,367.901703
54,0,-0.041070,0.015956,-0.093051,313.922333,84.077690,367.891876
55,0,-0.041207,0.015944,-0.093043,313.929382,84.072891,367.907806
56,0,-0.041164,0.015891,-0.093070,313.917786,84.074173,367.917755
57,0,-0.041068,0.015947,-0.093073,313.915131,84.079224,367.924377
58,0,-0.041201,0.015918,-0.093083,313.907471,84.084129,367.926666
59,0,-0.040737,0.015915,-0.093096,313.898926,84.082283,367.908905
60,0,-0.041045,0.015858,-0.093065,313.898987,84.076012,367.892731
61,0,-0.041273,0.015956,-0.093123,313.908020,84.076302,367.907684
62,0,-0.040977,0.016107,-0.093177,313.899048,84.079399,367.914917
63,0,-0.041040,0.015885,-0.093149,313.893707,84.081177,367.926636
64,0,-0.041193,0.015949,-0.093121,313.882599,84.071411,367.932190
65,0,-0.040858,0.015864,-0.093130,313.872803,84.075943,367.929626
66,0,-0.040730,0.015882,-0.093158,313.871948,84.062126,367.919159
67,0,-0.041068,0.015909,-0.093105,313.878601,84.056770,367.921234
68,0,-0.041008,0.015918,-0.093138,313.873474,84.054459,367.925110
69,0,-0.041059,0.015827,-0.093084,313.870392,84.051353,367.926727
70,0,-0.041016,0.015893,-0.093176,313.853638,84.052040,367.933136
71,0,-0.040888,0.015861,-0.093145,313.849243,84.062721,367.945496
72,0,-0.041036,0.015915,-0.093111,313.851257,84.056877,367.929810
73,0,-0.041146,0.015862,-0.093093,313.862549,84.056732,367.931427
